,University,Country,Street Address,Locality,Postal Code,Region
1583," College of Applied Sciences, Salalah",om ,PO Box 347,Salalah,215,Dhofar
1584," College of Applied Sciences, Sohar",om ,PO Box 135,Sohar,311,Al Batinah North
1585," College of Applied Sciences, Sur",om ,PO Box 484,Sur,411,Ash Sharqiyah South
1586, College of Banking and Financial Studies,om ,PO Box 3122,Ruwi,112,Muscat
1587, College of Biblical Studies,us ,7000 Regency Square Boulevard,Houston,77036-3211,Texas
1588, College of Central Florida,us ,3001 SW College Road,Ocala,34474,Florida
1589, College of Charleston,us ,66 George Street,Charleston,29424-0001,South Carolina
1590, College of Coastal Georgia,us ,One College Drive,Brunswick,31520-3644,Georgia
1591, College of Islamic and Arabic Studies,ae ,PO Box 50106,Dubai,,Dubai
1592, College of Law and Business,il ,Ben gurion 26,Ramat,52275,Tel Aviv
1593, College of Mount Saint Vincent,us ,6301 Riverdale Avenue,The,10471-1093,New York
1594, College of Our Lady of the Elms,us ,291 Springfield Street,Chicopee,01013,Massachusetts
1595, College of Saint Benedict Saint John's University,us ,37 S College Avenue,St.,56374,Minnesota
1596, College of Saint Elizabeth,us ,2 Convent Road,Morristown,07960-6989,New Jersey
1597, College of Saint Mary,us ,7000 Mercy Road,Omaha,68124,Nebraska
1598," College of Science, Technology and Applied Arts of Trinidad and Tobago",tt ,9-11 Melville Lane,Port,,
1599, College of Shari'a Sciences,om ,PO Box 3906,Ruwi,112,Muscat
1600, College of Southern Nevada,us ,6375 W. Charleston Boulevard,Las,89146-1164,Nevada
1601, College of St. Joseph,us ,71 Clement Road,Rutland,05701-3899,Vermont
1602, College of Staten Island,us ,2800 Victory Boulevard,Staten,10314,New York
1603, College of the Atlantic,us ,105 Eden Street,Bar,04609,Maine
1604, College of the Holy Cross,us ,One College Street,Worcester,01610-2395,Massachusetts
1605, College of the Holy Spirit,ph ,"163 E. Mendiola Street, San Miguel",Manila,1005,National Capital Region
1606, College of the North Atlantic,ca ,432 Massachussetts Drive,Stephenville,A2N 2Z6,Newfoundland and Labrador
1607, College of the North Atlantic - Qatar,qa ,"68 Al Tarafa, Duhail North",Doha,,
1608, College of the Ozarks,us ,100 Opportunity Avenue,Point,65726-0017,Missouri
1609, College of Tourism and Hotel Management,cy ,29 Onasagorou Street,Nicosia,2150,Nicosia
1610, College of Tourism Blagoevgrad,bg ,2 Bregalnitza str.,Blagoevgrad,2700,Blagoevgrad
1611, College of William & Mary,us ,200 Richmond Road,Williamsburg,23187-8795,Virginia
1612, Collège Universitaire Dominicain,ca ,96 Empress Avenue,Ottawa,K1R 7G3,Ontario
1613, Cologne Business School,de ,Hardefuststrasse 1,Köln,50677,North Rhine-Westphalia
1614, Colorado Christian University,us ,8787 West Alameda Avenue,Lakewood,80226,Colorado
1615, Colorado College,us ,14 E Cache La Poudre Street,Colorado,80903,Colorado
1616, Colorado Mesa University,us ,1100 North Avenue,Grand,81501-3122,Colorado
1617, Colorado School of Mines,us ,1500 Illinois Street,Golden,80401,Colorado
1618, Colorado State University,us ,102 Administration Building,Fort,80523-0100,Colorado
1619, Colorado State University-Pueblo,us ,2200 Bonforte Boulevard,Pueblo,81001-4901,Colorado
1620, Colorado Technical University,us ,4435 N Chestnut Street,Colorado,80907-3812,Colorado
1621, Columbia Basin College,us ,2600 N 20th Avenue,Pasco,99301,Washington
1622, Columbia Central University,pr ,Carretera 183 Km 1.7,Caguas,00726,
1623, Columbia College,us ,1001 Rogers Street,Columbia,65216,Missouri
1624, Columbia College Chicago,us ,600 South Michigan,Chicago,60605-1996,Illinois
1625, Columbia College of Nursing,us ,4425 N Port Washington Road,Glendale,53212,Wisconsin
1626," Columbia College, South Carolina",us ,1301 Columbia College Drive,Columbia,29203,South Carolina
1627, Columbia College-Hollywood,us ,18618 Oxnard Street,Tarzana,91356-1411,California
1628, Columbia International University,us ,7435 Monticello Road,Columbia,29203-1513,South Carolina
1629, Columbia University in the City of New York,us ,West 116 Street and Broadway,New,10027,New York
1630, Columbus College of Art and Design,us ,60 Cleveland Avenue,Columbus,43215-3875,Ohio
1631, Columbus State University,us ,4225 University Avenue,Columbus,31907-5645,Georgia
1632, Columbus University,pa ,,Panama,,
1633, Comilla University,bd ,"Salmanpur, Kotbari",Comilla,3503,Chittagong
1634, Commecs Institute of Business and Emerging Sciences,pk ,"40-B, Block-6, P.E.C.H.S., Shahrah-e-Faisal",Karachi,75400,Sindh
1635, Communication University of China,cn ,"1, Dingfuzhuang Dong Jie, Chaoyang District",Beijing,100024,Beijing
1636, Communication University of Shanxi,cn ,"New Wenhua Street, Yuci District",Jinzhong,030619,Shanxi
1637, COMSATS Institute of Information Technology,pk ,"Park Road, Chak Shahzad",Islamabad,44000,Islamabad CT
1638, Concord University,us ,1000 Vermillion Street,Athens,24712-1000,West Virginia
1639, Concordia College,us ,901 S 8Th Street,Moorhead,56562,Minnesota
1640, Concordia College Alabama,us ,1712 Broad Street,Selma,36701,Alabama
1641, Concordia College-New York,us ,171 White Plains Road,Bronxville,10708-1998,New York
1642, Concordia University,ca ,1455 de Maisonneuve Boulevard W,Montreal,H3G 1M8,Quebec
1643, Concordia University Ann Arbor,us ,4090 Geddes Road,Ann,48105,Michigan
1644, Concordia University Chicago,us ,7400 Augusta,River,60305-1499,Illinois
1645, Concordia University Irvine,us ,1530 Concordia West,Irvine,92612-3203,California
1646, Concordia University of Edmonton,ca ,7128 Ada Boulevard NW,Edmonton,T5B 4E4,Alberta
1647, Concordia University Texas,us ,11400 Concordia University Drive,Austin,78726,Texas
1648, Concordia University Wisconsin,us ,12800 N Lake Shore Drive,Mequon,53097-2402,Wisconsin
1649," Concordia University, Nebraska",us ,800 N Columbia Avenue,Seward,68434-1556,Nebraska
1650," Concordia University, Oregon",us ,2811 Ne Holman Street,Portland,97211-6099,Oregon
1651," Concordia University, St. Paul",us ,1282 Concordia Avenue,St.,55104-5494,Minnesota
1652, Connecticut College,us ,270 Mohegan Avenue,New,06320-4196,Connecticut
1653, Conservatoire Royal de Bruxelles,be ,Rue de la Régence 30,Brussels,1000,Brussels
1654, Conservatoire Royal de Liège,be ,"Boulevard Piercot, 29",Liège,4000,Liege
1655, Conservatorio de Música de Puerto Rico,pr ,951 Ponce de Leon Avenue,San,00907-3373,
1656, Conservatorio del Tolima,co ,Calle 9 No. 1-18,Ibague,,Tolima
1657, Conservatório Superior de Música de Gaia,pt ,Rua D. António Ferreira Gomes - Quinta dos Maravedis,Vila,4400-112,Porto
1658, Constantine of Preslav University of Shumen,bg ,115 Universitetska Str.,Shumen,9700,Shumen
1659, Converse College,us ,580 E Main Street,Spartanburg,29302-0006,South Carolina
1660, Conway School of Landscape Design,us ,180 Pleasant Street,Easthampton,01027,Massachusetts
1661, Cooch Behar Panchanan Barma University,in ,Vivekananda Street,Cooch,,West Bengal
1662, Cooperativa de Ensino Superior Egas Moniz,pt ,Quinta da Granja  Campus Universitário,Almada,2829-511,Setubal
1663, Copperstone University,zm ,"Plot No 8122, Copperhouse, Central Street",Kitwe,10101,Copperbelt
1664, Coppin State University,us ,2500 West North Avenue,Baltimore,21216-3698,Maryland
1665, Cor Jesu College,ph ,Sacred Heart Avenue,Digos,8002,Davao Region
1666, Corban University,us ,5000 Deer Park Drive SE,Salem,97317-9392,Oregon
1667, Cordoba Private University,sy ,PO Box 5014,Al,,Al-Hasakah
1668, Cork Institute of Technology,ie ,Rossa Avenue,Bishopstown,,County Cork
1669, Cornell College,us ,600 First Street SW,Mount,52314-1098,Iowa
1670, Cornell University,us ,300 Day Hall,Ithaca,14853,New York
1671, Cornerstone University,us ,1001 E Beltline Avenue NE,Grand,49525-5897,Michigan
1672, Cornish College of the Arts,us ,1000 Lenora Street,Seattle,98121,Washington
1673, Corporacion Colegiatura Colombiana,co ,KM 7 Vía Las Palmas,Medellín,,Antioquia
1674, Corporacion Escuela de Artes y Letras,co ,Carrera 12 No. 70-44/46,Bogota,,Bogota
1675, Corporacion Escuela Tecnologica del Oriente,co ,"Calle 41 No. 10-30, Barrio Alfonso Lopez",Bucaramanga,,Santander
1676, Corporacion Universidad de Investigacion y Desarrollo,co ,Calle 9 No. 23-55,Bucaramanga,,Santander
1677, Corporacion Universitaria  Unitec,co ,Calle 76 No. 12-58,Bogota,,Bogota
1678, Corporación Universitaria Adventista,co ,Carrera 84 No. 33AA-01,Medellín,,Antioquia
1679, Corporacion Universitaria Americana,co ,"Calle 71 No. 41C -35, Edificio COSMOS, Bloque D.",Barranquilla,,Atlantico
1680, Corporacion Universitaria Antonio Jose de Sucre,co ,"Carrera 21 No. 25-59, La María",Sincelejo,,Sucre
1681, Corporacion Universitaria Autonoma de Nariño,co ,Calle 19 No. 27-80,Pasto,,Narinio
1682, Corporacion Universitaria Autonoma del Cauca,co ,Calle 5 No. 3-85,Popayán,,Cauca
1683, Corporacion Universitaria Centro Superior,co ,"Calle 14 Norte No. 8N-35, Barrio Granada",Cali,,Valle Del Cauca
1684, Corporacion Universitaria Comfacauca,co ,Calle 4 No. 8-30,Popayán,,Cauca
1685, Corporacion Universitaria de Asturias,co ,Carrera 18 No. 79-25,Bogota,,Bogota
1686, Corporacion Universitaria de Cataluña,co ,Carrera18B No. 106 A-15,Bogota,,Bogota
1687, Corporacion Universitaria de Ciencia y Desarrollo,co ,Calle 74 No. 15-73,Bogota,,Bogota
1688," Corporacion Universitaria de Ciencias Empresariales, Educacion y Salud",co ,Carrera 53 No. 59-70,Barranquilla,,Atlantico
1689, Corporacion Universitaria de Colombia Ideas,co ,Calle 70 No. 10A-75,Bogota,,Bogota
1690, Corporación Universitaria de la Costa,co ,Calle 58 No. 55-66,Barranquilla,,Atlantico
1691, Corporacion Universitaria de Sabaneta,co ,Calle 75 sur No. 34-120,Sabaneta,,Antioquia
1692, Corporacion Universitaria de Santa Rosa de Cabal,co ,"Carrera 14 No. 27-80, Santa Rosa de Cabal",Santa,,Risaralda
1693, Corporacion Universitaria del Caribe,co ,Carretera Troncal Occidente Vía Corozal,Sincelejo,,Sucre
1694, Corporacion Universitaria del Huila,co ,Calle 21 No. 6-01,Neiva,,Huila
1695, Corporacion Universitaria del Meta,co ,"Carrera 32 No. 34B-26, Barrio San Fernando",Villavicencio,,Meta
1696, Corporacion Universitaria Empresarial Alexander Von Humboldt,co ,Avenida Bolivar No. 1-189,Armenia,,Quindio
1697, Corporacion Universitaria Empresarial de Salamanca,co ,Carrera 50 No. 79-155,Barranquilla,,Atlantico
1698, Corporacion Universitaria Iberoamericana,co ,Calle 67 No. 5-27,Bogota,,Bogota
1699, Corporación Universitaria Lasallista,co ,Carrera 51 No. 118 Sur-57,Caldas,,Antioquia
1700, Corporacion Universitaria Latinoamericana,co ,Calle 58 No. 55-24A,Barranquilla,,Atlantico
1701, Corporación Universitaria Minuto de Dios,co ,Calle 81b No. 72b-70,Bogotá,,Bogota
1702, Corporacion Universitaria Rafael Nuñez,co ,"Edificio Rafael Nuñez, Centro Calle de la Soledad No. 5-70",Cartagena,,Bolivar
1703, Corporacion Universitaria Reformada,co ,Carrera 38 No. 74-179,Barranquilla,,Atlantico
1704, Corporacion Universitaria Remington,co ,"Calle 51 No. 51-27, Edificio Coltabaco, Torre 1",Medellín,,Antioquia
1705, Corporacion Universitaria Republicana,co ,Carrera 7 No. 19-38,Bogota,,Bogota
1706, Corporacion Universitaria Taller Cinco,co ,Autopista Norte KM 19 (Via a Chia),Bogota,,Bogota
1707, Corporacion Universitaria U de Colombia,co ,Calle 56 No. 41-147,Medellín,,Antioquia
1708, Cottey College,us ,1000 W Austin,Nevada,64772,Missouri
1709, Cotton University,in ,"College Hostel Road, Panbazar",Guwahati,781 001,Assam
1710, Covenant College,us ,14049 Scenic Highway,Lookout,30750-4164,Georgia
1711, Covenant University,ng ,"Km 10 Idiroko Road, Canaan Land",Ota,11001,Ogun
1712, Coventry University,gb ,Priory Street,Coventry,CV1 5FB,West Midlands
1713, Cox College,us ,1423 N Jefferson,Springfield,65802,Missouri
1714, Cox's Bazar International University,bd ,"Dynamic Cox Kingdom, Kolatoli Circle",Cox's,4700,Chittagong
1715, Cranbrook Academy of Art,us ,39221 Woodward Avenue,Bloomfield,48304,Michigan
1716, Crandall University,ca ,"333 Gorge Road, Box 6004",Moncton,E1C 9L7,New Brunswick
1717, Cranfield University,gb ,College Road,Cranfield,MK43 0AL,East of England
1718, Crawford University,ng ,"Private Mailbox 2001, Faith City",Igbesa,23401,Ogun
1719, Creighton University,us ,2500 California Plaza,Omaha,68178,Nebraska
1720," Crescent University, Abeokuta",ng ,"KM. 5, Ayetoro Road, Sapon",Abeokuta,,Ogun
1721, Criswell College,us ,4010 Gaston Avenue,Dallas,75246-1537,Texas
1722, Cross River University of Technology,ng ,Ekpo Abasi,Calabar,,Cross River
1723, Crossroads Bible College,us ,601 N Shortridge Road,Indianapolis,46219-4912,Indiana
1724, Crossroads College,us ,920 Mayowood Road SW,Rochester,55902-2382,Minnesota
1725, Crowley's Ridge College,us ,100 College Drive,Paragould,72450,Arkansas
1726, Crown College,us ,8700 College View Drive,St.,55375-9001,Minnesota
1727, Crown Hill University,ng ,"Ballah Road, Eiyenkorin",Ilorin,,Kwara
1728, CSK Himachal Pradesh Krishi Vishvavidyalaya,in ,"National Highway 20, Holta",Palampur,176 062,Himachal Pradesh
1729, CTBC Financial Management College,tw ,"No. 600, Section 3, Taijiang Boulevard, Annan District",Tainan,709,Tainan
1730, Cukurova Üniversitesi,tr ,"Çukurova Üniversitesi Rektörlügü, Balcali, Sariçam",Adana,01330,Adana
1731, Culver-Stockton College,us ,1 College Hill,Canton,63435-1299,Missouri
1732, Cumberland University,us ,1 Cumberland Square,Lebanon,37087,Tennessee
1733, Cumhuriyet Üniversitesi,tr ,"Cumhuriyet Üniversitesi, Yenisehsr Mah. Kayseri Caddesi",Sivas,58140,Sivas
1734, CUNY School of Law,us ,2 Court Square,Long,11101,New York
1735, Curry College,us ,1071 Blue Hill Avenue,Milton,02186-2395,Massachusetts
1736, Curtin University,au ,"Kent Street, Bentley",Perth,6845,Western Australia
1737, Curtis Institute of Music,us ,1726 Locust Street,Philadelphia,19103,Pennsylvania
1738, Cuttington University,lr ,PO Box 10-0277,Monrovia,1000,Montserrado
1739, Cyber University,jp ,,Fukuoka,,Fukuoka
1740, Cyprus College,cy ,"6, Diogenous Street, Engomi; PO Box 22006",Nicosia,1516,Nicosia
1741, Cyprus International Institute of Management,cy ,21 Akademias Avenue; PO Box 20378,Nicosia,2151,Nicosia
1742, Cyprus International University,cy ,Haspolat Campus,Lefkosia,Mersin 10,Northern Cyprus
1743, Cyprus School of Molecular Medicine,cy ,PO Box 23462,Nicosia,1683,Nicosia
1744, Cyprus University of Technology,cy ,31 Archbishop Kyprianos Street; PO Box 50329,Limassol,3603,Limassol
1745, D. A. Tsenov Academy of Economics,bg ,2 Emanuil Chakarov Str.,Svishtov,5250,Veliko Tarnovo
1746, Dadabhoy Institute of Higher Education,pk ,"SNPA-17/B, Block 3, K.C.H.S. Union Ltd, Shaheed-e-Millat Road",Karachi,,Sindh
1747, Daegu Arts University,kr ,"San 117-6, Dabu-ri, Gasan-myeon",Chilgok-gun,718-912,North Gyeongsang
1748, Daegu Haany University,kr ,"290, Yugok-dong",Gyeongsan,712-715,North Gyeongsang
1749, Daegu National University of Education,kr ,"1797-6 Daemyong 2-8 dong, Nam-gu",Daegu,705-715,Daegu
1750, Daegu University,kr ,"15 Naeri-ri, Jillyang",Gyeongsan,712-714,North Gyeongsang
1751, Daegu University of Foreign Studies,kr ,128-1 Hyeopsuk-ri Namcheon-myeon,Gyeongsan,712-702,North Gyeongsang
1752, Daejeon University,kr ,"96-3 Yongun-dong, Dong-gu",Daejeon,300-716,Daejeon
1753, Daejin University,kr ,San 11-1 Sundan-dong,Pocheon,487-711,Gyeonggi
1754, Daemen College,us ,4380 Main Street,Amherst,14226-3592,New York
1755, Daeshin University,kr ,137 Baekcheon-dong,Gyeongsan,712-713,North Gyeongsang
1756, Daeyang University,mw ,"PO Box 30330, Kanengo",Lilongwe,,Central Region
1757, Daffodil International University,bd ,"102, Shukrabad, Mirpur Road, Dhanmondi",Dhaka,1207,Dhaka
1758, Dagestan State Agrarian University,ru ,"ul. M. Hajiyev, d. 180",Makhachkala,367032,Dagestan Republic
1759, Dagestan State Medical University,ru ,ul. Lenina 6,Makhachkala,367012,Dagestan Republic
1760, Dagestan State Pedagogical University,ru ,ul. Jaragskogo 57,Makhachkala,367003,Dagestan Republic
1761, Dagestan State Technical University,ru ,"Ave. Imam Shamil, 70",Makhachkala,367015,Dagestan Republic
1762, Dagestan State University,ru ,"ul. Gadghieva, 43a",Makhachkala,3670000,Dagestan Republic
1763, Dagon University,mm ,,North,,Yangon
1764, Dahan Institute of Technology,tw ,"No. 1, Shuren Street, Dahan Village",Xincheng,97145,Hualien County
1765, Daido University,jp ,"10-3 Takiharu-cho, Minami-ku",Nagoya,457-8530,Aichi
1766, Daiichi Institute of Technology,jp ,1-10-2 Kokubu chuo,Kirishima,899-4395,Kagoshima
1767, Daiichi University of Pharmacy,jp ,"Tamagawa-cho, Minami-ku",Fukuoka,815-8511,Fukuoka
1768, Daito Bunka University,jp ,"1-9-1 Takashimadaira, Itabashi-ku",Tokyo,175-8571,Tokyo
1769, Dakota State University,us ,820 N Washington Avenue,Madison,57042-1799,South Dakota
1770, Dakota Wesleyan University,us ,1200 W University Avenue,Mitchell,57301-4398,South Dakota
1771, Dakshina Bharat Hindi Prachar Sabha,in ,"Thanikachalam Road, Thyagraya Nagar",Chennai,,Tamil Nadu
1772, Dalanj University,sd ,,Dalang,,South Kurdufan
1773, Dalat University,vn ,1 Phu Dong Thien Vuong Street,Dalat,,Central Highlands
1774, Dalhousie University,ca ,6885 University Avenue,Halifax,B3H 4H6,Nova Scotia
1775, Dali University,cn ,,Dali,,Yunnan
1776, Dalian Art College,cn ,,Dalian,,Liaoning
1777, Dalian Institute of Science and Technology,cn ,"999-26 Binggang Road, Lüshunkou District",Dalian,,Liaoning
1778, Dalian Jiaotong University,cn ,,Dalian,,Liaoning
1779, Dalian Maritime University,cn ,"1 Linghai Road, Ganjingzi District",Dalian,116026,Liaoning
1780, Dalian Medical University,cn ,"Lushun S Road, Lüshunkou District",Dalian,116044,Liaoning
1781, Dalian Nationalities University,cn ,,Dalian,,Liaoning
1782, Dalian Neusoft University of Information,cn ,8 Software Park Road,Dalian,116023,Liaoning
1783, Dalian Ocean University,cn ,"52.Heishijiao Street, Shahekou District",Dalian,116023,Liaoning
1784, Dalian Polytechnic University,cn ,,Dalian,,Liaoning
1785, Dalian University,cn ,Dalian Economic and Technology Development Zone,Dalian,116622,Liaoning
1786, Dalian University of Finance and Economics,cn ,"No.80 Renjie Street, Jinzhou New District",Dalian,116622,Liaoning
1787, Dalian University of Foreign Languages,cn ,"94, Yanan Road, Zhongshan District",Dalian,,Liaoning
1788, Dalian University of Technology,cn ,"2 Linggong Road, Ganjingzi District",Dalian,116023,Liaoning
1789, Dallas Baptist University,us ,3000 Mountain Creek Parkway,Dallas,75211-9299,Texas
1790, Dallas Christian College,us ,2700 Christian Parkway,Dallas,75234-7299,Texas
1791, Dalton State College,us ,650 College Drive,Dalton,30720-3797,Georgia
1792, Damanhour University,eg ,Galal Koratim Square,Damanhour,,Beheira
1793, Damascus University,sy ,PO Box 30621,Damascus,,Rif Dimashq
1794, Damghan University,ir ,Cheshmeh Ali Road,Damghan,367164-1167,Semnan
1795, Damietta University,eg ,New Damietta,Damietta,34511,Damietta
1796, Damodaram Sanjivayya National Law University,in ,"Plot No. 116, Sector XI,, M.V.P. Colony",Visakhapatnam,530 017,Andhra Pradesh
1797, Danghara State University,tj ,Markazi str. 25,Danghara,735320,Khatlon
1798, Danish Institute of Higher Education,af ,,Charikar,,Parwan
1799, Dankook University,kr ,"152, Jukjeon-ro, Suji-gu",Yongin,16890,Gyeonggi
1800, Danmarks Medie- og Journalisthøjskole,dk ,Emdrupvej 72,Copenhagen,2400,Capital Region of Denmark
1801, Danmarks Tekniske Universitet,dk ,Anker Engelundsvej 1,Kongens,2800,Capital Region of Denmark
1802, Danube Private University,at ,Steiner Landstrasse 124,Krems,3500,Lower Austria
1803, Daqing Normal University,cn ,"Xibinxilu, Ranghulu District",Daqing,163712,Heilongjiang
1804, Dar Al Uloom University,sa ,PO Box 3535,Riyadh,13314,Riyadh
1805, Dar Al-Hekma University,sa ,Al-Fayha'a,Jeddah,22246,Makkah
1806, Dar al-Kalima University College of Arts and Culture,ps ,Bitter Mountain,Bethlehem,,West Bank
1807, Dar Al-Salam International University for Science and Technology,ye ,,Sana'a,,Sanaa
1808, Darkhan Institute,mn ,,Darkhan,,Darkhan-Uul
1809, Dartmouth College,us ,207 Parkhurst Hall,Hanover,03755-3529,New Hampshire
1810, Data Link Institute,gh ,"PO Box 2481, Tema Community 10 New Road",Tema,,Greater Accra
1811, Datta Meghe Institute of Medical Sciences,in ,"Atrey Layout, Pratap Nagar",Nagpur,440 022,Maharashtra
1812, Daugavpils Universitate,lv ,Vienibas 13,Daugavpils,5400,Latgale
1813, DAV University,in ,,Jalandhar,,Punjab
1814, Davangere University,in ,Shivagangothri,Davangere,577 002,Karnataka
1815, Davao Doctors College,ph ,General Malvar Street,Davao,8000,Davao Region
1816, Davenport University,us ,6191 Kraft Avenue SE,Grand,49512-9396,Michigan
1817, David Aghmashenebeli University of Georgia,ge ,25 Chavchavadze Avenue,Tbilisi,0179,Tbilisi
1818, David Tvildiani Medical University,ge ,2/6 Ljubljana Street,Tbilisi,0159,Tbilisi
1819, Davidson College,us ,102 N Main Street,Davidson,28035,North Carolina
1820, Davis & Elkins College,us ,100 Campus Drive,Elkins,26241-3996,West Virginia
1821, Davis College,us ,400 Riverside Drive,Johnson,13790-2712,New York
1822, Dawat University,af ,Qamber Square,Kabul,,Kabul
1823, Dawei University,mm ,,Dawei,,Tanintharyi
1824, Dawood University of Engineering and Technology,pk ,M.A. Jinnah Road,Karachi,65010,Sindh
1825, Dayalbagh Educational Institute,in ,"Dayal Bagh Road, Dayal Bagh",Agra,282 005,Uttar Pradesh
1826, Dayananda Sagar University,in ,,Bangalore,,Karnataka
1827, Da-Yeh University,tw ,"No. 168, University Road",Dacun,51591,Changhua County
1828, Daystar University,ke ,Valley Road; PO Box 44400,Nairobi,00100,Nairobi
1829, Daytona State College,us ,1200 W. International Speedway Boulevard,Daytona,32114,Florida
1830, De Haagse Hogeschool,nl ,Johanna Westerdijkplein 75,Den,2500 CA,South Holland
1831, De La Salle Health Sciences Institute,ph ,"Congressional Avenue, Pasong Lawin",Dasmariñas,4114,Calabarzon
1832, De La Salle Lipa,ph ,1962 J.P. Laurel National Highway,Lipa,4217,Calabarzon
1833, De La Salle University,ph ,"2401 Taft Avenue, Malate",Manila,1004,National Capital Region
1834, De La Salle-College of Saint Benilde,ph ,2544 Taft Avenue,Manila,1004,National Capital Region
1835, De Lin Institute of Technology,tw ,"No. 1, Lane 380, Qingyun Road, Tucheng District",New,236,New Taipei
1836, De Montfort University,gb ,"Trinity House, The Gateway",Leicester,LE1 9 BH,East Midlands
1837, Deakin University,au ,Gheringap Street,Geelong,3217,Victoria
1838, Dean College,us ,99 Main Street,Franklin,02038-1994,Massachusetts
1839, Debre Berhan University,et ,PO Box 445,Debre,,Amhara
1840, Debre Markos University,et ,,Debre,,Amhara
1841, Debre Tabor University,et ,,Gondar,,Amhara
1842, Debreceni Egyetem,hu ,1. Egyetem ter,Debrecen,4032,Hajdu-Bihar
1843, Debreceni Református Hittudományi Egyetem,hu ,Kálvin tér 16,Debrecen,4044,Hajdu-Bihar
1844, Deccan College Post-Graduate and Research Institute,in ,"Deccan College Road, Yerwada",Pune,411 006,Maharashtra
1845, Dedan Kimathi University of Technology,ke ,off Nyeri/Mweiga Road; PO Box 657,Nyeri,10100,Nyeri
1846, Deen Dayal Upadhyay Gorakhpur University,in ,Civil Lines,Gorakhpur,273 009,Uttar Pradesh
1847, Deenbandhu Chhotu Ram University of Science and Technology,in ,"50th K.M. Stone, National Highway 1",Murthal,131 039,Haryana
1848, Defiance College,us ,701 N Clinton,Defiance,43512,Ohio
1849, DEKRA Hochschule Berlin,de ,Ehrenbergstrasse 12-14,Berlin,10245,Berlin
1850, Delaware State University,us ,1200 N. Dupont Highway,Dover,19901,Delaware
1851, Delaware Valley University,us ,700 E Butler Avenue,Doylestown,18901-2697,Pennsylvania
1852, Delhi Pharmaceutical Sciences and Research University,in ,"Mehrauli-Badarpur Road, Puspvihar Sector 3",New,110017,NCT of Delhi
1853, Delhi Technological University,in ,"Shahbad Daulatpur, Main Bawana Road",New,110 042,NCT of Delhi
1854, Delta State University,us ,1003 W Sunflower Road,Cleveland,38733,Mississippi
1855," Delta State University, Abraka",ng ,Private Mailbox 1,Abraka,,Delta
1856, Delta University for Science and Technology,eg ,Gamassa,El,,Dakahlia
1857, Democritus University of Thrace,gr ,University Campus,Xanthi,67100,East Macedonia and Thrace
1858, Den Danske Scenekunstskole,dk ,Per Knutzons vej 5,Copenhagen,1437,Capital Region of Denmark
1859, Den-en Chofu University,jp ,,Kawasaki,,Kanagawa
1860, Denison University,us ,100 West College Street,Granville,43023-0713,Ohio
1861, Denver College of Nursing,us ,1401 19th Street,Denver,80202,Colorado
1862, DePaul University,us ,1 E Jackson Boulevard,Chicago,60604-2287,Illinois
1863, DePauw University,us ,313 S Locust Street,Greencastle,46135-1772,Indiana
1864, Des Moines University,us ,3200 Grand Avenue,Des,50312,Iowa
1865, DeSales University,us ,2755 Station Avenue,Center,18034-9568,Pennsylvania
1866, Desh Bhagat University,in ,,Mandi,,Punjab
1867, Design Academy Eindhoven,nl ,PO Box 2125,Eindhoven,5600 CC,North Brabant
1868, design akademie berlin,de ,Paul-Lincke-Ufer 8e,Berlin,10999,Berlin
1869, Det Jyske Musikkonservatorium,dk ,Skovgaardsgade 2C,Aarhus,8000,Central Denmark Region
1870," Det Kongelige Danske Kunstakademi, Billedkunstskolerne",dk ,Kongens Nytorv 1,Copenhagen,1050,Capital Region of Denmark
1871," Det Kongelige Danske Kunstakademis, Skoler for Arkitektur, Design og Konservering",dk ,Philip de Langes Allé 10,Copenhagen,1435,Capital Region of Denmark
1872, Det Kongelige Danske Musikkonservatorium,dk ,Rosenørns Allé 22,Copenhagen,1970,Capital Region of Denmark
1873, Det Teologiske Menighetsfakultet,no ,"Gydasvei 4, POB 5144 Majorstua",Oslo,0302,Oslo
1874, Deutsche Sporthochschule Köln,de ,Am Sportpark Müngersdorf 6,Köln,50933,North Rhine-Westphalia
1875, Deutsche Universität für Verwaltungswissenschaften Speyer,de ,Freiherr-vom-Stein-Strasse 2,Speyer,67346,Rhineland-Palatinate
1876, Deutsch-Kasachische Universität,kz ,"Pushkin str., 111/113",Almaty,050010,Almaty
1877, Dev Sanskriti Vishwavidyalaya,in ,Gayatrikunj,Shantikunj,249 411,Uttarakhand
1878, Devi Ahilya Vishwavidyalaya,in ,"D.A.V.V., Nalanda Campus, R.N.T. Marg",Indore,452 001,Madhya Pradesh
1879, DeVry University,us ,3300 N Campbell Avenue,Chicago,60618-5994,Illinois
1880, Dewey International University,kh ,"Phum Romcheck IV, Sangkat Ratanak",Battambang,,Battambang
1881, Dezhou University,cn ,"566 Daxue West Road, Decheng District",Dezhou,253023,Shandong
1882, DHA Suffa University,pk ,"DG-78, Off Khayaban-e-Tufail, Ph-VII (Ext.)",Karachi,75500,Sindh
1883, Dhaka International University,bd ,"House # 6, Road # 1, Block # F, Banani",Dhaka,1213,Dhaka
1884, Dhaka University of Engineering and Technology,bd ,,Gazipur,1700,Dhaka
1885, Dharma Drum Institute of Liberal Arts,tw ,"No. 700, Fagu Road, Jinshan District",New,20842,New Taipei
